Loop,Other_ScanCount,Partition_CustomerData_SpaceUsedInBytes,Partition_Extensibility_SpaceUsedInBytes,JediMem_PdlPersonality_HighWater,JediMem_Extensibility_BytesAvailable,JediMem_Extensibility_BytesConsumed,JediMem_Extensibility_HighWater,JediMem_JavaScriptAligned_BytesAvailable,JediMem_JavaScriptAligned_BytesConsumed,JediMem_JavaScriptAligned_HighWater,JediMem_OpenSourceLib_BytesAvailable,JediMem_OpenSourceLib_BytesConsumed,JediMem_OpenSourceLib_HighWater,JediMem_WebkitSmall_BytesAvailable,JediMem_WebkitSmall_BytesConsumed,JediMem_WebkitSmall_HighWater,JediMem_WebkitLarge_BytesAvailable,JediMem_WebkitLarge_BytesConsumed,JediMem_WebkitLarge_HighWater,JediMem_NonJediManaged_BytesConsumed,JediMem_NonJediManaged_HighWater,Other_BootCycleCounter,UI_Total_Memory_Statistics_Limit,UI_Total_Memory_Statistics_Consumed,UI_Total_Memory_Statistics_High_Water,Web_Process_Memory_Statistics_Limit,Web_Process_Memory_Statistics_Consumed,Web_Process_Memory_Statistics_High_Water,Browser_Process_Memory_Mappings_sizeTotal,Browser_Process_Memory_Mappings_privateTotal,Browser_Process_Memory_Mappings_sharedTotal,Browser_Process_Memory_Mappings_anonymousTotal,Web_Process_Memory_Mappings_sizeTotal,Web_Process_Memory_Mappings_privateTotal,Web_Process_Memory_Mappings_sharedTotal,Web_Process_Memory_Mappings_anonymousTotal,Network_Process_Memory_Mappings_sizeTotal,Network_Process_Memory_Mappings_privateTotal,Network_Process_Memory_Mappings_sharedTotal,Network_Process_Memory_Mappings_anonymousTotal
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,612201532,636044348,158,352321536,109133824,135008256,274726912,66719744,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,613663804,636044348,158,352321536,110669824,135008256,274726912,68206592,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,614765628,636044348,158,352321536,111751168,135008256,274726912,69222400,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,615490620,636044348,158,352321536,112545792,135008256,274726912,69914624,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,616027196,636044348,158,352321536,113143808,135008256,274726912,70459392,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,616690748,636044348,158,352321536,113913856,135008256,274726912,71163904,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,617833532,636044348,158,352321536,115048448,135008256,274726912,72220672,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,619357244,636044348,158,352321536,116576256,135008256,274726912,73678848,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,619635772,636044348,158,352321536,116260864,135008256,274726912,73465856,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,620319804,636044348,158,352321536,117100544,135008256,274726912,74260480,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,621716540,636044348,158,352321536,118542336,135008256,274726912,75608064,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,622085180,636044348,158,352321536,118886400,135008256,274726912,75911168,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,622244924,636044348,158,352321536,118956032,135008256,274726912,75898880,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,622933052,636044348,158,352321536,119672832,135008256,274726912,76541952,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,623584316,636044348,158,352321536,120381440,135008256,274726912,77160448,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,625067068,636044348,158,352321536,121950208,135008256,274726912,78598144,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,626697276,636044348,158,352321536,122761216,135008256,274726912,79548416,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,626484284,636044348,158,352321536,123326464,135008256,274726912,80084992,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,627647548,636044348,158,352321536,124588032,135008256,274726912,81231872,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,628286524,636044348,158,352321536,125358080,135008256,274726912,81969152,93138944,0,0,0,0,0,0,0,0,0,0,0,0
